transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
sales,"One Hyde Park, Knightsbridge",1,2,7500000.0,,,An exceptional one bedroom apartment for sale in this much sought after development in Knightsbridge.,Flat,Knightsbridge,"Global 1, London",rightmove,https://www.rightmove.co.uk/properties/148711550#/?channel=RES_BUY,16/07/2024
sales,"Southbank, London, SE1",3,4,7500000.0,,,"Frestons are delighted to privately market this astonishing three bedroom luxury penthouse in the heart of London, SE1.",Apartment,SE1,"Frestons, Covering London and the Home Counties",rightmove,https://www.rightmove.co.uk/properties/144015602#/?channel=RES_BUY,25/01/2024
sales,"Fitzhardinge House, Portman Square",3,3,7500000.0,,,"A very rare opportunity to purchase a stunning, interior designed penthouse apartment. Located in one of the most enviable positions on Portman Square benefiting from stunning southerly and easterly panoramic views over Portman and Manchester Square is this 3 bedroom, double aspect pe...",Apartment,Square,"Manors, London - Sales",rightmove,https://www.rightmove.co.uk/properties/137093777#/?channel=RES_BUY,07/07/2023
sales,"St. James Close, St. John's Wood, London, NW8",4,4,7500000.0,,,A spectacular lateral penthouse with direct views over the London skyline.,Penthouse,NW8,"Savills, St John's Wood & Regent's Park",rightmove,https://www.rightmove.co.uk/properties/130863098#/?channel=RES_BUY,10/01/2024
sales,"Woodvale Avenue, South Norwood, London, SE25",3,1,685000.0,,,"A completely upgraded three bedroom 1930’s family house forming the popular Norhyrst Estate, nearby Norwood Park and Lakes.",House,SE25,"Pedder, Crystal Palace",rightmove,https://www.rightmove.co.uk/properties/149335277#/?channel=RES_BUY,20/08/2024
sales,"Lincoln House, Basil Street, SW3",5,3,7450000.0,,,An immaculately presented five bedroom lateral apartment with excellent entertaining rooms. The flat is arranged on the 5th floor of this much sought after mansion building which benefits from a resident porter and lift.,Flat,SW3,"Chestertons, Knightsbridge",rightmove,https://www.rightmove.co.uk/properties/149353310#/?channel=RES_BUY,19/06/2024
sales,"Bayswater Road, London, W2",3,2,7450000.0,,,"Exclusive designer residence by Elie Saab, opposite Hyde Park.",Penthouse,W2,"'s International Realty (GPM Principal Branch), Mayfair",rightmove,https://www.rightmove.co.uk/properties/148420493#/?channel=RES_BUY,17/06/2024
sales,"Radnor Terrace, London, W14",2,3,7400000.0,,,A three bedroom penthouse apartment with Sky-line views,Penthouse,W14,"'s International Realty (GPM Principal Branch), Mayfair",rightmove,https://www.rightmove.co.uk/properties/148052738#/?channel=RES_BUY,14/03/2024
sales,"Cheniston Gardens, Kensington, London, W8",6,7,7400000.0,,,A beautiful Grade II listed Queen Anne townhouse in coveted Kensington,House,W8,"'s International Realty (GPM Principal Branch), Mayfair",rightmove,https://www.rightmove.co.uk/properties/122388176#/?channel=RES_BUY,23/11/2023
sales,"Bayswater Road, London, W2",3,3,7400000.0,,,Modern designer apartment in luxury branded residence with Hyde Park views.,Apartment,W2,"'s International Realty (GPM Principal Branch), Mayfair",rightmove,https://www.rightmove.co.uk/properties/148420322#/?channel=RES_BUY,25/05/2024
sales,"Thames City, Nine Elms, London SW8",5,4,7364000.0,,,The following apartment is located within the Sky Collection of the Development. The most exclusive and opulent units within the entire completed scheme. This exquisite 5 bedroom apartment located in Thames City on the 42nd floor presents a deluxe living experience within one of London's...,Apartment,SW8,"Knightsbridge Prime Property, Knightsbridge",rightmove,https://www.rightmove.co.uk/properties/142081175#/?channel=RES_BUY,16/11/2023
sales,"Coleridge Gardens, Chelsea, SW10",6,6,7350000.0,,,"An impressive penthouse with excellent views for sale in Chelsea An exceptional penthouse apartment located in this prestigious Chelsea development. Kings Chelsea offers residents 24-hour security, porter, underground parking and leisure facilities with communal gardens and a lake. This penthou...",Penthouse,SW10,"Knight Frank, Chelsea",rightmove,https://www.rightmove.co.uk/properties/151313075#/?channel=RES_BUY,14/08/2024
sales,"Coleridge Gardens, London, SW10",6,4,7350000.0,,,"A truly impressive and spacious interior-designed six bedroom penthouse apartment arranged over the two top floors with a combined floor space in excess of 4,000 sqft with wraparound terraces providing un-interrupted skyline views over Chelsea and beyond. All bedrooms have en-suite marble bathroo...",Penthouse,SW10,"Susan Metcalfe Residential, London",rightmove,https://www.rightmove.co.uk/properties/150073628#/?channel=RES_BUY,09/07/2024
sales,"Coleridge Gardens, London SW10",6,7,7350000.0,,,A stunning penthouse apartment within the highly sought after Kings Chelsea Development in Chelsea. Spanning in excess of 4050sqft this split level apartment is really quite impressive. The entrance to the property has impressive double doors and a large hallway with a beautiful stairca...,Penthouse,SW10,"Chatterton Rees, London",rightmove,https://www.rightmove.co.uk/properties/149988431#/?channel=RES_BUY,25/01/2023
